Date,BTC,BTC Volume mln,Bitcoin My Wallet Number of Transaction Per Day,NVDA,Ethereum,DJI,,
6/3/20,9656.717773,25007.46,101543,87.695,244.179321,26269.89,,
6/4/20,9800.636719,25921.81,104324,87.665001,244.426392,26281.82,,
6/5/20,9665.533203,23509.63,104084,89.199997,241.221985,27110.98,,
6/8/20,9771.489258,21486.35,103306,88.050003,246.309906,27572.44,,
6/9/20,9795.700195,23717.84,110563,90.459999,244.911453,27272.3,,
6/10/20,9870.094727,25706.57,109082,93.667503,247.444946,26989.99,,
6/11/20,9321.78125,30247.14,109124,87.962502,231.702667,25128.17,,
6/12/20,9480.84375,22610.56,107338,89.324997,237.49321,25605.54,,
6/15/20,9450.702148,26699.70,110367,91.737503,229.928909,25763.16,,
6/16/20,9538.024414,21565.54,119884,90.684998,234.416168,26289.98,,
6/17/20,9480.254883,20177.71,113188,92.360001,233.028275,26119.61,,
6/18/20,9411.84082,17770.08,111254,92.18,232.101166,26080.1,,
6/19/20,9288.018555,19632.22,111152,92.612503,227.13829,25871.46,,
6/22/20,9648.717773,21104.01,111566,95.267502,242.533188,26024.96,,
6/23/20,9629.658203,17006.43,121043,94.5,244.142151,26156.1,,
6/24/20,9313.610352,18961.72,111163,92.355003,235.772461,25445.94,,
6/25/20,9264.813477,18616.05,110202,94.900002,232.944489,25745.6,,
6/26/20,9162.917969,18341.47,111916,91.550003,229.668045,25015.55,,
6/29/20,9190.854492,16460.55,109480,92,228.19487,25595.8,,
6/30/20,9137.993164,15735.80,117659,94.977501,226.315002,25812.88,,
7/1/20,9228.325195,15971.55,122340,95.300003,231.113419,25734.97,,
7/2/20,9123.410156,16338.92,118622,96.122498,229.392197,25827.36,,
7/6/20,9375.474609,17889.26,118444,98.392502,241.510223,26287.03,,
7/7/20,9252.277344,13839.65,125388,98.717499,239.075531,25890.18,,
7/8/20,9428.333008,19702.36,126757,102.160004,246.670013,26067.28,,
7/9/20,9277.967773,18000.70,125019,105.089996,243.015961,25706.09,,
7/10/20,9278.807617,16860.04,121245,104.792503,240.984985,26075.3,,
7/13/20,9243.614258,17519.82,119894,100.522499,239.604584,26085.8,,
7/14/20,9243.213867,18085.04,124185,103.769997,240.211487,26642.59,,
7/15/20,9192.836914,15844.73,128413,102.272499,238.423523,26870.1,,
7/16/20,9132.227539,15713.97,124741,101.347504,233.640884,26734.71,,
7/17/20,9151.392578,13944.57,117087,102.014999,232.773087,26671.95,,
7/20/20,9164.231445,13755.60,115644,105.107498,236.153168,26680.87,,
7/21/20,9374.887695,18069.58,120589,103.285004,245.016724,26840.4,,
7/22/20,9525.363281,16532.25,120631,104.387497,262.190643,27005.84,,
7/23/20,9581.072266,18146.40,122525,101.297501,274.689056,26652.33,,
7/24/20,9536.892578,16552.77,120373,101.945,279.215424,26469.89,,
7/27/20,10990.87305,35359.75,127675,104.214996,321.514099,26584.77,,
7/28/20,10912.82324,28766.55,117489,102.154999,316.657257,26379.28,,
7/29/20,11100.46777,24617.25,118274,104.654999,318.190887,26539.57,,
7/30/20,11111.21387,22857.25,111432,106.139999,334.586639,26313.65,,
7/31/20,11323.4668,23160.47,112856,106.147499,345.554657,26428.32,,
8/3/20,11246.34863,20271.71,112836,110.102501,386.295166,26664.4,,
8/4/20,11205.89258,21250.20,117426,112.277496,389.875488,26828.47,,
8/5/20,11747.02246,24411.25,118373,112.8675,401.590576,27201.52,,
8/6/20,11779.77344,23400.74,115556,113.355003,394.961945,27386.98,,
8/7/20,11601.47266,23132.31,117387,111.995003,379.512848,27433.48,,
8/10/20,11878.11133,26114.11,109808,111.650002,395.887573,27791.44,,
8/11/20,11410.52539,27039.78,115474,108.5,380.384064,27686.91,,
8/12/20,11584.93457,25064.55,117167,114.402496,391.02417,27976.84,,
8/13/20,11784.1377,27522.20,117926,114.43,428.741791,27896.72,,
8/14/20,11768.87109,24237.96,120144,115.639999,437.397827,27931.02,,
8/17/20,12254.40234,28227.69,119364,123.370003,429.53125,27844.91,,
8/18/20,11991.2334,26043.23,109015,122.607498,423.669312,27778.07,,
8/19/20,11758.2832,24502.85,109826,121.385002,406.463776,27692.88,,
8/20/20,11878.37207,20175.24,113348,121.410004,416.439789,27739.73,,
8/21/20,11592.48926,23762.43,107827,126.834999,389.126343,27930.33,,
8/24/20,11774.5957,20681.51,108522,127.202499,408.144196,28308.46,,
8/25/20,11366.13477,26301.51,106864,127.5,384.001038,28248.44,,
8/26/20,11488.36328,22466.66,112243,127.730003,386.466125,28331.92,,
8/27/20,11323.39746,23240.42,108477,126.282501,382.632629,28492.27,,
8/28/20,11542.5,19807.13,117345,131.477493,395.874664,28653.87,,
8/31/20,11680.82031,22285.93,110960,133.744995,435.079742,28430.05,,
9/1/20,11970.47852,27311.56,121477,138.210007,477.05191,28645.66,,
9/2/20,11414.03418,28037.41,114086,143.464996,440.040497,29100.5,,
9/3/20,10245.29688,31927.26,113200,130.154999,385.671936,28292.73,,
9/4/20,10511.81348,29965.13,106441,126.224998,388.24115,28133.31,,
9/8/20,10131.5166,33430.93,110009,119.129997,337.602112,27500.89,,
9/9/20,10242.34766,24128.29,118192,127.150002,351.110016,27940.47,,
9/10/20,10363.13867,54406.44,117549,123.1175,368.101898,27534.58,,
9/11/20,10400.91504,45201.12,114355,121.644997,374.695587,27665.64,,
9/14/20,10680.83789,35453.58,113423,128.722504,377.26886,27993.33,,
9/15/20,10796.95117,32509.45,121489,129.910004,364.839203,27995.6,,
9/16/20,10974.90527,30769.99,123770,125.144997,365.812286,28032.38,,
9/17/20,10948.99023,38151.81,122101,124.635002,389.019226,27901.98,,
9/18/20,10944.58594,26341.90,119477,121.892502,384.364532,27657.42,,
9/21/20,10462.25977,28885.00,109592,125.172501,341.786072,27147.7,,
9/22/20,10538.45996,23621.79,116137,126.377502,344.503174,27288.18,,
9/23/20,10246.18652,23788.66,116764,121.237503,321.116302,26763.13,,
9/24/20,10760.06641,47144.38,121644,123.480003,349.355591,26815.44,,
9/25/20,10692.7168,39348.59,119178,128.737503,352.183258,27173.96,,
9/28/20,10709.65234,47762.39,114153,130.350006,355.159424,27584.06,,
9/29/20,10844.64063,46582.40,118456,132.257507,359.757385,27452.66,,
9/30/20,10784.49121,44171.07,122111,135.304993,359.937866,27781.7,,
10/1/20,10619.45215,40023.13,119336,136.145004,353.205902,27816.9,,
10/2/20,10575.97461,48661.45,116831,130.622498,346.238922,27682.81,,
10/5/20,10793.33984,47537.58,111936,136.425003,353.956787,28148.64,,
10/6/20,10604.40625,42623.70,118043,137.365005,340.815857,27772.76,,
10/7/20,10668.96875,37799.46,123016,139.639999,341.808655,28303.46,,
10/8/20,10915.68555,63314.79,119978,138.387497,350.766144,28425.51,,
10/9/20,11064.45801,22799.12,120487,137.627502,365.590485,28586.9,,
10/12/20,11555.36328,26163.97,111107,142.259995,387.731262,28837.52,,
10/13/20,11425.89941,24241.42,116905,142.482498,381.190765,28679.81,,
10/14/20,11429.50684,24103.43,120737,140.952499,379.484039,28514,,
10/15/20,11495.34961,24487.23,123491,139.699997,377.441833,28494.2,,
10/16/20,11322.12305,25635.48,119022,138.115005,366.229004,28606.31,,
10/19/20,11742.03711,23860.77,114911,134.977493,379.935608,28195.42,,
10/20/20,11916.33496,30915.82,118715,136.455002,369.136902,28308.79,,
10/21/20,12823.68945,43414.71,121443,135.247498,392.189972,28210.82,,
10/22/20,12965.8916,34729.76,116210,133.610001,413.77298,28363.66,,
10/23/20,12931.53906,28974.98,115901,135.902496,409.766693,28335.57,,
10/26/20,13075.24805,29461.46,108072,131.412506,393.888306,27685.38,,
10/27/20,13654.21875,33749.88,107755,133.967499,403.99704,27463.19,,
10/28/20,13271.28516,35867.32,97435,126.269997,388.650757,26519.95,,
10/29/20,13437.88281,56499.50,96472,130.240005,386.730103,26659.11,,
10/30/20,13546.52246,30581.49,99744,125.339996,382.819977,26501.6,,
11/2/20,13550.48926,30771.46,92075,125.807503,383.156738,26925.05,,
11/3/20,13950.30078,29869.95,104862,130.195007,387.602173,27480.03,,
11/4/20,14133.70703,35116.36,111706,137.942505,402.141998,27847.66,,
11/5/20,15579.84863,40856.32,117033,141.600006,414.067352,28390.18,,
11/6/20,15565.88086,39837.84,116624,145.619995,454.719299,28323.4,,
11/9/20,15332.31543,34149.12,108748,136.307495,444.163055,29157.97,,
11/10/20,15290.90234,25574.94,110744,127.699997,449.679626,29420.92,,
11/11/20,15701.33984,29772.37,118087,134.179993,462.960541,29397.63,,
11/12/20,16276.34375,34175.76,119821,134.567505,461.00528,29080.17,,
11/13/20,16317.80859,31599.49,115627,132.970001,474.626434,29479.81,,
11/16/20,16716.11133,31526.77,116438,135.152496,459.940308,29950.44,,
11/17/20,17645.40625,39006.85,126054,134.222504,480.360077,29783.35,,
11/18/20,17804.00586,49064.80,131185,134.287506,479.48407,29438.42,,
11/19/20,17817.08984,36985.06,121142,134.402496,471.630432,29483.23,,
11/20/20,18621.31445,36992.87,126727,130.877502,509.744568,29263.48,,
11/23/20,18364.12109,42741.11,114965,131.399994,608.454041,29591.27,,
11/24/20,19107.46484,51469.57,125517,129.577499,603.897766,30046.24,,
11/25/20,18732.12109,43710.36,126066,132.347504,570.686646,29872.47,,
11/27/20,17108.40234,38886.49,111482,132.612503,517.493713,29910.37,,
11/30/20,19625.83594,47728.48,123280,134.014999,614.842529,29638.64,,
12/1/20,18802.99805,49633.66,122494,133.899994,587.324158,29823.92,,
12/2/20,19201.0918,37387.70,122832,135.445007,598.352356,29883.79,,
12/3/20,19445.39844,31930.32,121938,133.960007,616.70874,29969.52,,
12/4/20,18699.76563,33872.39,103024,135.582504,569.354187,30218.26,,
12/7/20,19191.63086,26896.36,114431,136.067505,591.843384,30069.79,,
12/8/20,18321.14453,31692.29,117329,133.5,554.827759,30173.88,,
12/9/20,18553.91602,34420.37,119860,129.307495,573.479126,30068.81,,
12/10/20,18264.99219,25547.13,120437,129.722504,559.678528,29999.26,,
12/11/20,18058.9043,27919.64,116918,130.132507,545.797363,30046.37,,
12/14/20,19246.64453,22474.00,115865,133.087494,586.011169,29861.55,,
12/15/20,19417.07617,26741.98,124119,133.604996,589.355591,30199.31,,
12/16/20,21310.59766,44409.01,133763,132.425003,636.181824,30154.54,,
12/17/20,22805.16211,71378.61,133931,133.412506,642.868958,30303.37,,
12/18/20,23137.96094,40387.90,114560,132.720001,654.811951,30179.05,,
12/21/20,22803.08203,45852.71,104545,133.322495,609.817871,30216.45,,
12/22/20,23783.0293,44171.63,121744,132.782501,634.854187,30015.51,,
12/23/20,23241.3457,51146.16,120423,130.092499,583.7146,30129.83,,
12/24/20,23735.94922,41080.76,113743,129.9375,611.607178,30199.87,,
12/28/20,27084.80859,49056.74,110939,129,730.397339,30403.97,,
12/29/20,27362.4375,45265.95,115581,129.432495,731.520142,30335.67,,
12/30/20,28840.95313,51287.44,128884,131.457504,751.618958,30409.56,,
12/31/20,29001.7207,46754.96,121367,130.550003,737.803406,30606.48,,
1/4/21,31971.91406,81163.48,121481,131.134995,1040.233032,30223.89,,
1/5/21,33992.42969,67547.32,126610,134.047501,1100.006104,30391.6,,
1/6/21,36824.36328,75289.43,139896,126.144997,1207.112183,30829.4,,
1/7/21,39371.04297,84762.14,144971,133.440002,1225.678101,31041.13,,
1/8/21,40797.60938,88107.52,131318,132.767502,1224.197144,31097.97,,
1/11/21,35566.65625,123320.57,119207,136.214996,1090.145386,31008.69,,
1/12/21,33922.96094,74773.28,108276,134.847504,1043.43457,31068.69,,
1/13/21,37316.35938,69364.32,121259,135.317505,1130.73938,31060.47,,
1/14/21,39187.32813,63615.99,125848,132.002502,1218.453003,30991.52,,
1/15/21,36825.36719,67760.76,115433,128.595001,1171.834595,30814.26,,
1/19/21,36069.80469,57244.20,117294,130.252502,1377.295898,30930.52,,
1/20/21,35547.75,66834.57,115047,133.657501,1382.274048,31188.38,,
1/21/21,30825.69922,75643.07,106463,138.675003,1121.570923,31176.01,,
1/22/21,33005.76172,77207.27,116022,137.125,1236.512207,30996.98,,
1/25/21,32366.39258,59897.05,111660,136.532501,1324.414795,30960,,
1/26/21,32569.84961,60255.42,114669,134.352493,1357.058105,30937.04,,
1/27/21,30432.54688,62576.76,115356,129.177505,1253.187134,30303.17,,
1/28/21,33466.09766,76517.16,123829,130.509995,1332.492188,30603.36,,
1/29/21,34316.38672,117894.57,123827,129.897507,1382.522827,29982.62,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
